ID,Name,Vertices,Faces,Model
C01,Rhombic Dodecahedron,14,12,:x3d-model:`_static/x3d/rhombic_dodecahedron.x3d`
C02,Rhombic Triacontahedron,32,30,:x3d-model:`_static/x3d/rhombic_triacontahedron.x3d`
C03,Triakis Tetrahedron,8,12,:x3d-model:`_static/x3d/triakis_tetrahedron.x3d`
C04,Tetrakis Hexahedron,14,24,:x3d-model:`_static/x3d/tetrakis_hexahedron.x3d`
C05,Triakis Octahedron,14,24,:x3d-model:`_static/x3d/triakis_octahedron.x3d`
C06,Pentakis Dodecahedron,32,60,:x3d-model:`_static/x3d/pentakis_dodecahedron.x3d`
C07,Triakis Icosahedron,32,60,:x3d-model:`_static/x3d/triakis_icosahedron.x3d`
C08,Deltoidal Icositetrahedron,26,24,:x3d-model:`_static/x3d/deltoidal_icositetrahedron.x3d`
