ID,Name,Vertices,Faces,Model
A01,Cuboctahedron,12,14,:x3d-model:`_static/x3d/cuboctahedron.x3d`
A02,Icosidodecahedron,30,32,:x3d-model:`_static/x3d/icosidodecahedron.x3d`
A03,Truncated Tetrahedron,12,8,:x3d-model:`_static/x3d/truncated_tetrahedron.x3d`
A04,Truncated Octahedron,24,14,:x3d-model:`_static/x3d/truncated_octahedron.x3d`
A05,Truncated Cube,24,14,:x3d-model:`_static/x3d/truncated_cube.x3d`
A06,Truncated Icosahedron,60,32,:x3d-model:`_static/x3d/truncated_icosahedron.x3d`
A07,Truncated Dodecahedron,60,32,:x3d-model:`_static/x3d/truncated_dodecahedron.x3d`
A08,Rhombicuboctahedron,24,26,:x3d-model:`_static/x3d/rhombicuboctahedron.x3d`
